dam_id,dam
dam_6851642,Sophie P
dam_5677826,Penny Rose
dam_45256813,Ajwibah
dam_7413413,Perla Blanca
dam_15093505,Quintada
dam_6062035,Queen Sarra
dam_15375710,Orchid Star
dam_5305363,Refuse To Give Up
dam_5990838,Patience Alexander
dam_5324032,Natalisa
dam_6930266,Dubai One
dam_20050926,Gullible
dam_10358803,Dance Diva
dam_11499222,Nassya
dam_11499215,Glitterdust
dam_18686955,African Fable
dam_5313259,Masaya
dam_18324054,Dr Simpson
dam_6004040,Eleusis
dam_40686597,Glencross
dam_6172880,Mistaken Love
dam_5422606,Roger Sez
dam_7092820,Paco's Angel
dam_6310689,World Of Good
dam_35937489,Beyond Limits
dam_19303886,Egotistic
dam_13892200,Key To Power
dam_5991972,Silvery Blue
dam_19635434,Amplifier
dam_5144720,Lady Of The Desert
dam_21648634,Nurse Dee
dam_6315470,Wild Bloom
dam_5301989,Breedj
dam_3593625,Caffe Latte
dam_7291249,Bassmah
dam_6247514,Crafted Jewel
dam_5361685,Supatov
dam_6068258,Marsh Pride
dam_5374481,Lady Gabrielle
dam_6754377,Whiteley
dam_6112162,Emirates Rewards
dam_4973696,Kesara
dam_7646485,Rockshine
dam_6231407,Sufoof
dam_5426015,Dalkova
dam_16018058,Geizy Teizy
dam_5797085,Princess Rose
dam_19427814,Jessely
dam_34473047,On The Same Page
dam_7055027,Clip Art
dam_13527066,Cantiniere
dam_14315056,Victors Lady
dam_32180365,Occupation
dam_4919761,Lady Bluesky
dam_5492256,Miss Forde
dam_5166917,Luluti
dam_21877296,Tarayef
dam_6010928,Tristesse
dam_4145330,Pivotal's Princess
dam_18257834,Xcite
dam_5361678,Jadhwah
dam_5693772,Constant Dream
dam_13354096,Chantilly Cream
dam_5322191,Obligada
dam_21794514,Carte De Visite
dam_5390861,Fashion Central
dam_6298705,Queen's Novel
dam_15716022,Swansdown
dam_4666795,La Seine
dam_4555614,Oh So Saucy
dam_14552181,Mecca's Gift
dam_5270811,Honeymead
dam_22549716,Sea Of Dreams
dam_42615664,Party For Ever
dam_6827961,Astrosecret
dam_41939198,Grayling
dam_6062042,Twilight Sparkle
dam_4946277,Alsace Lorraine
dam_11944016,Waitingfortheday
dam_4623332,Joshua's Princess
dam_7922880,Listen In
dam_5668782,Emirates Queen
dam_7175490,Illaunmore
dam_5173273,Hibaayeb
dam_13354327,Pollara
dam_19359242,Kalsara
dam_21682661,Portrush
dam_5146400,Drumcliffe Dancer
dam_3253341,Sign Of Life
dam_30540867,Aurora Gold
dam_13974926,Aussie View
dam_8128617,Fashion Theory
dam_6165215,Soul Searcher
dam_2885995,First Experience
dam_5367719,Complexion
dam_9842791,Damselfly
dam_16500274,Narrative
dam_7144557,Queen's Charter
dam_20374032,Yukon Girl
dam_5454050,Dora's Sister
dam_18788385,Fallen From Grace
dam_8153460,Shaaqaaf
dam_5865090,Autumn Tide
dam_16588068,Meghan Sparkle
dam_13829858,Alicia Darcy
dam_10017812,Lyric Harmony
dam_6317668,We Are Ninety
dam_18292659,Exceed Loose
dam_5155486,Sutton Veny
dam_4462535,Kiva
dam_6238015,Alsaaden
dam_4980332,Rouge Dancer
dam_4820522,Doric Lady
dam_4958240,Coconut Shy
dam_5674557,College Doll
dam_5136726,Cat O' Nine Tails
dam_7042308,Red Box
dam_6118630,Savvy
dam_37821574,Tetrad
dam_5138924,Falling Angel
dam_4637745,Samdaniya
dam_33289046,Esmaggie
dam_13931771,Magical Crown
dam_19780033,Qaseeda
dam_5696215,Rocktique
dam_10479329,Worship
dam_5722619,Camelopardalis
dam_6222601,Dew Line
dam_4623318,Fresh Mint
dam_18788637,Matnie
dam_4941454,Solitaire City
dam_5499200,Wattle Bridge
dam_37289028,Belle Anglaise
dam_5998916,Liberalis
dam_4430412,Bally Bolshoi
dam_5810210,Bitofapuzzle
dam_4681852,Thebelloftheball
dam_6010452,Laurel Gift
dam_5325607,Saraska D'Airy
dam_5995647,Poprock Du Berlais
dam_5713085,Miss Raven
dam_5141514,Quiet Down
dam_5492004,Western Approaches
dam_18143818,Fleur Rose
dam_5299987,Kendova
dam_6248102,Tartinette
dam_6337821,Qlementine
dam_5327147,La Pelodette
dam_6187062,Idrather Not Say
dam_11757879,Santa Diana
dam_7097111,Safraniere
dam_5378751,Whats Up Britta
dam_8454145,Illwalktheline
dam_5194686,Synthe Davis
dam_5980268,Belle Fortune
dam_5268487,Vanoo D'Orthe
dam_5609233,Last Of Her Line
dam_4157615,Moyliscar
dam_5831392,Mayfair Music
dam_29829219,Jet Setting Fiona
dam_4633923,Drumderry
dam_5624101,Unicite
dam_5995430,Miss Bailly
dam_5020036,Sovereign Lass
dam_8662843,Psychocandy
dam_35150717,Stacicaya
dam_5994716,Longhouse Presents
dam_4900560,Sainte Mante
dam_6109502,Star Face
dam_3747723,Wattrey
dam_5283173,Protektion
dam_4628169,Alzasca
dam_3912741,Koeur De Mee
dam_23104256,Lorette
dam_5268536,Law
dam_4118891,King's Daughter
dam_4646201,Dantes Term
dam_5632508,Midsummer Drama
dam_5960304,Solitairy Girl
dam_4894400,Hesmeralda
dam_4913055,Latenightdip
dam_5835571,Sher's Adamant
dam_16501114,Roulmapoule
dam_5753132,Sans Rien
dam_3979689,Latitude
dam_15995252,Belle Again
dam_4899405,Queenjo
dam_5323941,Love Over Gold
dam_12922777,Sourya D'Airy
dam_22198974,Kizzy May
dam_21163478,Sweet Youghal Bay
dam_4157776,Ballylough Lady
dam_4914819,Shocona
dam_8084524,Accordingtoherself
dam_2947091,Lifestyle
dam_21163429,Royal Stream
dam_28110082,Beneficial Breeze
dam_17571169,Spartes Eria
dam_5830181,Pafadas
dam_5590928,Backaway
dam_4695530,Cute N You Know It
dam_5448282,Mallards In Flight
dam_4890130,Ravello Bay
dam_17400278,Pocket Call
dam_8876161,Blue Beryl
dam_34525743,Visga Des Pictons
dam_5871278,Pour Toi Georges
dam_17757642,Queen Of Questions
dam_5773173,No Pushover
dam_5267507,Some Catch
dam_5070359,Miss Garbo
dam_5813157,Sea Rocket
dam_6009549,Milford Maggie
dam_5779487,Familliarity
dam_5476954,Holloden
dam_4797359,Fleur Enchantee
dam_5744333,Estiqaama
dam_7174874,Awareness
dam_5897143,Bal Celtique
dam_34961927,Made For A Reason
dam_23048725,Present Leader
dam_10616158,Garance
dam_10136686,Dolly Boru
dam_6134303,Bella
dam_21672105,Larmina
dam_6246205,Afsheen
dam_4424609,Charade
dam_5286827,Fairly Definite
dam_5761147,Thankyou Very Much
dam_21035749,Ballinahow Tara
dam_6664602,Alice Pink
dam_5696040,Harasiya
dam_4755415,Scotch Bonnet
dam_6234697,Glacial Drift
dam_3946327,Midnight Angel
dam_5374866,Cathodine Cayras
dam_4483640,Wannabe Posh
dam_6092548,Intimation
dam_6075524,Lovely Memory
dam_5656329,Outside Art
dam_4058859,Hurricane Lily
dam_4491256,Dancing Storm
dam_5895113,Yeah Baby
dam_18828684,A Go Go
dam_6030479,Jane's Memory
dam_5156347,Miss Kittyhawk
dam_5667886,All On Red
dam_6208496,Dawreya
dam_13974933,Manana Chica
dam_5743108,Mango Diva
dam_18337683,Star In The Making
dam_21652652,Poet's Queen
dam_5371065,Music Pearl
dam_7344827,Sparkle
dam_3101518,Regina
dam_14034846,Greach
dam_6082671,Springstride
dam_5332320,Knock Stars
dam_6053803,Ainippe
dam_23567383,Sing So Sweetly
dam_6247927,Model Looks
dam_7097699,Quench Dolly
dam_5597382,Alushta
dam_5812996,Friendship Is Love
dam_20767747,Anna Maria
dam_22180746,Fashion
dam_6268003,Sun'Aq
dam_5314974,Sarangoo
dam_6291194,Siri
dam_6279399,Positive Vibration
dam_7355999,Gemina
dam_3173450,Daring Day
dam_16833166,Salayel
dam_5191424,Kilo Alpha
dam_6198311,Cotton Camera
dam_6099268,Tobouggaloo
dam_6074705,Music And Dance
dam_6015226,Anthem Alexander
dam_24064516,Vulnicura
dam_5969026,Rise Up Lotus
dam_5857712,Trace Of Scent
dam_6031606,Home Cummins
dam_6168771,Jersey Breeze
dam_5902736,Abbotsfield
dam_6021365,Showcard
dam_16048095,Happy Hiker
dam_4802840,Swift Acclaim
dam_5146848,Walk On Bye
dam_5081559,So Blissful
dam_5906257,Norway Cross
dam_14404299,Little Italy
dam_6160833,Atwix
dam_11001214,Lawless Secret
dam_4760042,Starlit Sands
dam_4706877,Shesha Bear
dam_25262363,Foreign Assignment
dam_6753635,Kodi Da Capo
dam_17763760,Punchy Lady
dam_4802007,Spangle
dam_18928931,Bredenbury
dam_49142002,Camp Vega
dam_19016501,Feelinlikeasomeone
dam_6229314,First Party
dam_17856846,Great Dame
dam_6205689,Swiss Affair
dam_5309374,Snowy Peak
dam_4505025,Inaminute
dam_15205351,Mot Juste
dam_7197897,Unex Mona Lisa
dam_4976713,Touching
dam_5687465,The Gold Cheongsam
dam_2991296,Odyssee
dam_24665081,Only Young Once
dam_6155989,Lovers' Vows
dam_6276256,Rosamaria
dam_5755358,Sava Sunset
dam_5766131,Zelie Martin
dam_5574205,Vivid Blue
dam_19187462,Rapid Recruit
dam_4770297,Revue Princess
dam_6467664,Effige
dam_7263599,Straight Away
dam_24065797,Goodnight And Joy
dam_8411711,Thafeera
dam_8411571,Fleur Forsyte
dam_5720596,Soprana
dam_6146343,Alchemilla
dam_5556453,Aubrietia
dam_6055315,Star Fire
dam_5820472,Kendal Mint
dam_5861142,Hay Chewed
dam_6249621,Chicago Fall
dam_5003908,Wish You Luck
dam_6038515,Bling Ring
dam_4399983,Upskittled
dam_6024193,Indina
dam_35257775,Akalara
dam_5928307,Dame Lucy
dam_4851889,Rhadegunda
dam_6340383,Upstanding
dam_12251932,Fearn's Pippin
dam_5826044,Planete Bleue
dam_6264699,Ebb
dam_5916764,Groovejet
dam_4759524,Broken Applause
dam_5533451,Malekat Jamal
dam_8338337,My Lea
dam_5541151,Kathoe
dam_5851545,Online Alexander
dam_6059487,Elhaam
dam_4777136,Come April
dam_16699627,Fabulist
dam_16175950,Hazakiyra
dam_12243077,Synchronic
dam_5622666,Ebony Flyer
dam_10256568,Vicugna
dam_10939390,Tranquil Spirit
dam_24676050,Occurrence
dam_6224708,Gharbeya
dam_14594167,Heaven On Earth
dam_24698667,Geisha Girl
dam_16449692,Lady Parma
dam_8128603,White Chocolate
dam_2148713,Nigella
dam_5608624,Play Street
dam_6055462,Rahlah
dam_6904345,Motivee
dam_6313552,Larose
dam_5696194,Rawaaq
dam_7816942,Ever After
dam_20978867,Bright New Day
dam_3920028,Dusty Dazzler
dam_14752220,Medoras Childe
dam_6029093,Midnight Destiny
dam_7355964,Forever Excel
dam_4617137,China Cherub
dam_11169543,Image
dam_6024025,Dangerous Moonlite
dam_31274362,Mary Stewart
dam_8662829,Monteamiata
dam_10383282,Ty Rock Brandy
dam_5369840,Willbeme
dam_9693110,Puchita
dam_43796690,Amna
dam_36555554,Only Live Once
dam_9602243,Silca Mistress
dam_4789197,Yummy Mummy
dam_8454096,Dirayah
dam_6041959,Patterned
dam_10001663,Cherubic
dam_4218963,Love And Laughter
dam_6281653,Veena
dam_4827704,Ebalista
dam_13610394,Via Condotti
dam_5859658,Integral
dam_6008177,Calypso Beat
dam_33096756,Piscean Dream
dam_4986667,Classic Lass
dam_10983861,Fou Rire
dam_5987289,Quiania
dam_5911465,Maiden Approach
dam_4052181,Salutare
dam_11784157,Queen Rabab
dam_7061096,Oberyn
dam_5937841,Ardbrae Tara
dam_10002041,Proctor's Ledge
dam_12355959,Chicklade
dam_10763739,Shaya
dam_6924722,Golden Reign
dam_5389482,Louya
dam_5930134,Wedgewood Estates
dam_3502625,Thicket
dam_11286366,Gwerrann
dam_5460581,Najraan
dam_6011327,Tell Mum
dam_13285349,Misu Billy
dam_21886256,Florett
dam_4934174,Goleta
dam_5483870,Place In My Heart
dam_11639306,Air Stricker
dam_8867334,Dundel's Spirit
dam_5005406,In Secret
dam_7108136,Tahoo
dam_4929316,Light Hearted
dam_4789897,Nizhoni
dam_6066858,Full Rose
dam_6231925,Ice Haven
dam_22856603,Well Clad
dam_5622757,C'Est La Mode
dam_4929190,Lindeman
dam_6067901,Brune Ecossaise
dam_5586287,Tenessee
dam_4937947,Polly's Mark
dam_5137090,Fulgence
dam_5772620,Wild Blueberry
dam_15498497,Raincall
dam_6261612,Anabasis
dam_10523898,Mystique
dam_19715500,Dream Book
dam_6239079,Matron Of Honour
dam_30837394,Valdivia
dam_11570832,Sweet Mambo
dam_5574387,Namera
dam_5972225,Round Of Applause
dam_6754888,Timely Words
dam_20495986,Linareva
dam_13124244,Belle Attitude
dam_20464969,Belle Et Chic
dam_4597229,Dara Supreme
dam_6093521,Djeville
dam_5844559,Adriana Des Mottes
dam_5486005,Game Of Legs
dam_6783238,Lady Wagtail
dam_27711481,In The Habit
dam_5220180,Sparky May
dam_4959129,Credit Box
dam_6012216,Queen Of The Stage
dam_4561431,Salve Evita
dam_4861745,Whos To Know
dam_8525328,Ayleoola
dam_5646193,Mariner's Light
dam_4677477,Coscorrig
dam_25095147,Dhan
dam_22797152,Satalda's Lady
dam_586068,Tashtiyana
dam_5686086,August Hill
dam_3993822,Pougatcheva
dam_4155004,Hellofafaithful
dam_4656946,Raise The Issue
dam_4465755,Freemantle Doctor
dam_8714545,Kiss Jolie
dam_4088686,Sardagna
dam_4735899,Progest Des Mottes
dam_24541741,Ville Sainte
dam_5307155,Farewellatmidnight
dam_22856582,Olympe De Coudray
dam_4929183,Court Gamble
dam_32458622,Divine De Stpierre
dam_4766069,Jeanquiri
dam_5595891,Which Thistle
dam_40096105,Shuil Forth
dam_4506313,My Petra
dam_5459699,Dushion
dam_4739924,Tambourine Ridge
dam_4550574,Pyleigh Lady
dam_4026295,Mrs Wallensky
dam_3314458,Mothers Help
dam_22906702,Might Do
dam_29226785,Vin Fizz
dam_5450606,Griva
dam_9786490,Nighthawk's Law
dam_5303333,Glibin
dam_4096890,Full Of Birds
dam_5722311,Leo's Spirit
dam_3742340,Grandma Griffiths
dam_5697202,Talween
dam_3945739,Casanga
dam_5587715,The Folkes Choice
dam_5928650,Imtidaad
dam_24263715,Swedish Dancer
dam_6095635,Be Mine Tonight
dam_5417944,Perpette
dam_25026596,Unibelle
dam_5646494,Tulipe Star
dam_29829345,Toler Street
dam_6284201,Cordione
dam_6129130,Burgundy Betty
dam_11585203,Bit Of A Geordie
dam_5829614,Run Ructions Run
dam_5359718,Tidara Angel
dam_6211632,Whisky Rose
dam_5632725,Highland Retreat
dam_5405848,Miss Milborne
dam_46449858,Daska D'Airy
dam_24468325,Competitive Affair
dam_5227012,Montebella
dam_5209239,Titi Jolie
dam_5730788,Roll On Ruby
dam_4944205,Snug Bunch
dam_3593156,Persian Filly
dam_5622603,Seren Gris
dam_6148842,Jessber's Dream
dam_12161233,Kuragina
dam_5364079,Sunset Kitty
dam_8608271,Gymnaste
dam_5852175,Yoga
dam_5677840,Bright Glow
dam_4971694,Lough Mist
dam_5302969,Sensationally
dam_6046551,Angels Wings
dam_6185970,Yeah Baby Yeah
dam_5869248,Hey Little Gorl
dam_6209049,Hot Ticket
dam_3022852,Rhythmical
dam_5882156,Lady Liberty
dam_4786817,Fikrah
dam_6041924,Elbereth
dam_15750301,Tipitena
dam_35650160,Rosilipscurvehips
dam_5682369,Michael's Song
dam_4949455,Middle Persia
dam_3168907,House Of Roses
dam_4879420,Rebecca De Winter
dam_7505456,Tilthe End Of Time
dam_6282794,Pernickety
dam_5618368,Cape Elizabeth
dam_9878428,Littlevix
dam_5397861,Psychic's Dream
dam_6241186,Kicker Rock
dam_10001516,Mistress Of Venice
dam_7170282,Gorgeous
dam_6168820,Love On The Rocks
dam_4650919,Red Blooded Woman
dam_25121509,Gailes First
dam_5885516,Ramone
dam_6177675,Jumeirah Star
dam_5497590,Kingdomforthebride
dam_5969418,Nisriyna
dam_21395017,Moohareeba
dam_9603468,Give And Take
dam_20702892,Adana
dam_44873794,Edavanna
dam_12862087,Miss Latin
dam_20260198,Lawahed
dam_8728895,Heaven's Angel
dam_30468788,Doobahdeedoo
dam_5872237,Vallado
dam_4656827,Evening Time
dam_27902469,La Muchacha
dam_5716837,Janie Runaway
dam_14059325,Fire Fly
dam_19664855,Brown Honey
dam_43951194,Ultimate Aim
dam_6177416,Rebel Surge
